day;month;year;objective;Spend;Impressions;Reach;Frequency;Clicks;CTR;PageView;LeadTotal
3;12;2023;3;23,22;861;830;1,04;19;2,21;1;4
3;12;2023;3;19,17;1135;1083;1,05;17;1,5;3;2
3;12;2023;3;0,07;2;2;1;0;0;0;0
3;12;2023;3;37,12;1702;1601;1,06;48;2,82;1;11
4;12;2023;1;37,9;2925;2871;1,02;32;1,09;2;9
4;12;2023;1;97,14;6681;6416;1,04;72;1,08;9;16
4;12;2023;1;1,27;66;66;1;2;3,03;1;1
4;12;2023;1;0,19;18;17;1,06;0;0;0;0
4;12;2023;1;1,04;77;73;1,05;0;0;0;0
4;12;2023;1;126,17;7819;7224;1,08;59;0,75;6;12
4;12;2023;1;0,36;21;21;1;0;0;0;0
4;12;2023;1;0,27;5;5;1;0;0;0;0
